"province","title","objectCount"
"http://pleiades.stoa.org/places/981509","Asia",404
"http://pleiades.stoa.org/places/981502","Achaia",111
"http://pleiades.stoa.org/places/981539","Numidia",44
"http://pleiades.stoa.org/places/1101","Lusitania",32
"http://pleiades.stoa.org/places/981551","Tarraconensis",27
"http://pleiades.stoa.org/places/981504","Africa Proconsularis",23
"http://pleiades.stoa.org/places/981530","Lycia et Pamphylia",17
"http://pleiades.stoa.org/places/862","Baetica",15
"http://pleiades.stoa.org/places/981552","Thracia",11
"http://pleiades.stoa.org/places/981512","Bithynia et Pontus",6
"http://pleiades.stoa.org/places/981531","Macedonia",6
"http://pleiades.stoa.org/places/991351","Flaminia et Picenum",6
"http://pleiades.stoa.org/places/981503","Aegyptus",5
"http://pleiades.stoa.org/places/981537","Narbonensis",5
"http://pleiades.stoa.org/places/981505","Aquitania",4
"http://pleiades.stoa.org/places/981524","Germania Inferior",3
"http://pleiades.stoa.org/places/981511","Belgica",2
"http://pleiades.stoa.org/places/981549","Sicilia",1
"http://pleiades.stoa.org/places/991335","Aemilia et Liguria",1
"http://pleiades.stoa.org/places/981516","Cyprus",1
